trial,n_classes,c_start,c_end,radius_closing,radius_opening,dice,hausdorff,score
40,5,0,4,3,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
63,3,0,2,3,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
62,4,0,3,1,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
131,3,0,2,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
61,4,1,3,5,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
30,5,0,4,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
54,4,2,3,5,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
33,3,0,2,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
51,3,0,2,4,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
23,3,1,1,4,1,0.03995392537717951,48.12483766206386,-0.008170912284884348
118,3,1,1,4,1,0.03995392537717951,48.12483766206386,-0.008170912284884348
39,4,2,3,4,1,0.0340002149461134,48.12483766206386,-0.014124622715950462
155,5,1,4,3,1,0.03372211198761071,48.12483766206386,-0.014402725674453151
44,5,1,4,3,1,0.03372211198761071,48.12483766206386,-0.014402725674453151
156,5,1,4,3,1,0.03372211198761071,48.12483766206386,-0.014402725674453151
154,5,1,4,3,1,0.03372211198761071,48.12483766206386,-0.014402725674453151
135,5,1,4,3,1,0.03372211198761071,48.12483766206386,-0.014402725674453151
147,5,1,4,3,1,0.03372211198761071,48.12483766206386,-0.014402725674453151
148,5,1,4,3,1,0.03372211198761071,48.12483766206386,-0.014402725674453151
87,5,3,3,5,2,0.03206403210783828,46.9041575982343,-0.014840125490396018
45,5,3,3,5,2,0.03206403210783828,46.9041575982343,-0.014840125490396018
46,5,3,3,5,2,0.03206403210783828,46.9041575982343,-0.014840125490396018
125,5,3,3,5,1,0.032044450972365024,46.9041575982343,-0.014859706625869273
22,5,3,3,5,1,0.032044450972365024,46.9041575982343,-0.014859706625869273
4,3,2,2,5,1,0.030653811276646372,46.9041575982343,-0.016250346321587925
89,3,2,2,5,1,0.030653811276646372,46.9041575982343,-0.016250346321587925
127,3,2,2,5,2,0.030651290470758635,46.9041575982343,-0.016252867127475663
134,3,2,2,5,2,0.030651290470758635,46.9041575982343,-0.016252867127475663
65,3,2,2,5,2,0.030651290470758635,46.9041575982343,-0.016252867127475663
104,3,2,2,5,2,0.030651290470758635,46.9041575982343,-0.016252867127475663
14,4,3,3,5,1,0.030499661604480605,46.9041575982343,-0.016404495993753692
108,5,4,4,5,2,0.030013272493000457,46.9041575982343,-0.01689088510523384
2,5,4,4,5,1,0.029932905681056214,46.9041575982343,-0.016971251917178083
93,5,4,4,5,1,0.029932905681056214,46.9041575982343,-0.016971251917178083
73,3,1,2,3,1,0.030154527399579505,48.12483766206386,-0.017970310262484353
150,5,2,4,3,1,0.029785061460929796,48.12483766206386,-0.018339776201134063
149,5,2,4,3,1,0.029785061460929796,48.12483766206386,-0.018339776201134063
145,5,2,4,3,1,0.029785061460929796,48.12483766206386,-0.018339776201134063
97,4,2,3,3,1,0.02952693786914741,48.12483766206386,-0.01859789979291645
48,4,2,3,3,2,0.029493071448893016,48.12483766206386,-0.018631766213170843
50,4,1,3,2,1,0.025705666714611705,48.12483766206386,-0.022419170947452154
