trial,window_size,k,polarity,radius_closing,radius_opening,dice,hausdorff,score
202,7,0.0837753992018753,low,5,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
223,47,0.155093371560533,low,5,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
225,47,0.19613625705415946,low,5,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
248,35,0.15388516260853585,low,3,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
226,47,0.15687286357955593,low,5,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
247,41,0.0881059098968779,low,3,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
246,41,0.06765496426005897,low,3,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
245,41,0.06689156839276961,low,3,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
244,35,0.08436565584767218,low,3,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
243,41,0.08357672175804215,low,3,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
242,41,0.08805159386679688,low,3,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
241,41,0.08811126688791351,low,3,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
240,41,0.06932260193387355,low,3,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
239,41,0.08625361849533228,low,3,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
238,41,0.07093558793704163,low,3,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
237,41,0.086181806189817,low,3,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
236,41,0.08389215932258826,low,3,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
235,41,0.0848655225076613,low,3,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
234,41,0.08923039870198307,low,3,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
233,43,0.2253032202339822,low,5,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
232,43,0.1511621627790043,low,5,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
231,43,0.28392920738226335,low,5,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
230,43,0.15701598260898683,low,5,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
229,43,0.1588357374620647,low,5,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
228,43,0.2871092119407922,low,5,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
