trial,num_iter,smoothing,lambda1,lambda2,t_init,radius_closing,dice,hausdorff,score
165,30,1,4,1,21.074183521647207,1,0.9495863260296391,26.40075756488817,0.923185568464751
171,30,1,4,1,20.728947123783346,1,0.9495735243944047,26.40075756488817,0.9231727668295165
337,24,1,4,2,24.031968746445134,1,0.9495659915423993,26.40075756488817,0.9231652339775112
315,26,1,4,2,24.42077914586733,1,0.9495592556317336,26.40075756488817,0.9231584980668455
264,24,1,3,1,25.620163408864382,1,0.9491556242471078,26.0,0.9231556242471077
288,25,1,4,2,26.050522126320523,1,0.9495515944544585,26.40075756488817,0.9231508368895703
302,24,1,4,2,25.41652954466482,1,0.9495515944544585,26.40075756488817,0.9231508368895703
295,24,1,4,2,25.884305105014832,1,0.9494936004451864,26.40075756488817,0.9230928428802982
278,24,1,4,2,25.976171203215415,1,0.9494589660239569,26.40075756488817,0.9230582084590687
331,24,1,4,2,23.886994372848406,1,0.949435575445862,26.40075756488817,0.9230348178809739
255,24,1,3,1,25.909749022892793,1,0.9490338713343942,26.0,0.9230338713343942
353,29,1,4,2,23.14607434748305,1,0.9494301994301995,26.40075756488817,0.9230294418653113
253,24,1,3,1,25.785553238869785,1,0.9490292365752739,26.0,0.9230292365752739
269,24,1,3,1,25.761085820704405,1,0.9490292365752739,26.0,0.9230292365752739
349,25,1,4,2,24.20083499953995,1,0.9494121838261489,26.40075756488817,0.9230114262612608
266,25,1,3,1,25.868652276415368,1,0.9490053427304763,26.0,0.9230053427304763
299,24,1,4,2,25.497730298890474,1,0.9493978049377769,26.40075756488817,0.9229970473728888
206,30,1,4,2,20.30333271361734,1,0.9493842830739083,26.40075756488817,0.9229835255090202
257,24,1,3,1,25.351216048252105,1,0.9489621933753154,26.0,0.9229621933753154
268,24,1,3,1,26.305962814397503,1,0.9489336546769133,26.0,0.9229336546769132
254,24,1,3,1,26.063195064892724,1,0.9488589871806528,26.0,0.9228589871806527
110,12,1,5,3,41.140745403971735,1,0.9490130123041516,26.30589287593181,0.9227071194282198
193,21,1,4,2,21.22070465108921,1,0.9490777866880513,26.40075756488817,0.9226770291231632
71,15,1,1,1,52.51407905292973,2,0.9481012658227848,26.0,0.9221012658227847
359,25,1,3,2,57.580285476376254,1,0.9482154273494853,26.1725046566048,0.9220429226928805
360,25,1,3,2,57.737691539939384,1,0.9482040087318913,26.1725046566048,0.9220315040752864
368,25,1,3,2,58.13832392113849,1,0.9481739590684545,26.1725046566048,0.9220014544118497
267,24,1,3,2,48.387939063205465,1,0.9480485115766263,26.1725046566048,0.9218760069200215
335,25,1,3,2,35.132038672913936,1,0.948046220340478,26.1725046566048,0.9218737156838732
306,24,1,3,2,25.4941971315088,1,0.9480416372618208,26.1725046566048,0.921869132605216
392,25,1,3,2,58.93187089916755,1,0.9480416372618208,26.1725046566048,0.921869132605216
309,24,1,3,2,25.150254179092347,1,0.9480416372618208,26.1725046566048,0.921869132605216
